01100-2	北海道	札幌市
01202-5	北海道	函館市
01203-3	北海道	小樽市
01204-1	北海道	旭川市
01205-0	北海道	室蘭市
01206-8	北海道	釧路市
01207-6	北海道	帯広市
01208-4	北海道	北見市
01209-2	北海道	夕張市
01210-6	北海道	岩見沢市
01211-4	北海道	網走市
01212-2	北海道	留萌市
01213-1	北海道	苫小牧市
01214-9	北海道	稚内市
01215-7	北海道	美唄市
01216-5	北海道	芦別市
01217-3	北海道	江別市
01218-1	北海道	赤平市
01219-0	北海道	紋別市
01220-3	北海道	士別市
01221-1	北海道	名寄市
01222-0	北海道	三笠市
01223-8	北海道	根室市
01224-6	北海道	千歳市
01225-4	北海道	滝川市
01226-2	北海道	砂川市
01227-1	北海道	歌志内市
01228-9	北海道	深川市
01229-7	北海道	富良野市
01230-1	北海道	登別市
01231-9	北海道	恵庭市
01233-5	北海道	伊達市
01234-3	北海道	北広島市
01235-1	北海道	石狩市
01236-0	北海道	北斗市
01303-0	北海道	当別町
01304-8	北海道	新篠津村
01331-5	北海道	松前町
01332-3	北海道	福島町
01333-1	北海道	知内町
01334-0	北海道	木古内町
01337-4	北海道	七飯町
01343-9	北海道	鹿部町
01345-5	北海道	森町
01346-3	北海道	八雲町
01347-1	北海道	長万部町
01361-7	北海道	江差町
01362-5	北海道	上ノ国町
01363-3	北海道	厚沢部町
01364-1	北海道	乙部町
01367-6	北海道	奥尻町
01370-6	北海道	今金町
01371-4	北海道	せたな町
01391-9	北海道	島牧村
01392-7	北海道	寿都町
01393-5	北海道	黒松内町
01394-3	北海道	蘭越町
01395-1	北海道	ニセコ町
01396-0	北海道	真狩村
01397-8	北海道	留寿都村
01398-6	北海道	喜茂別町
01399-4	北海道	京極町
01400-1	北海道	倶知安町
01401-0	北海道	共和町
01402-8	北海道	岩内町
01403-6	北海道	泊村
01404-4	北海道	神恵内村
01405-2	北海道	積丹町
01406-1	北海道	古平町
01407-9	北海道	仁木町
01408-7	北海道	余市町
01409-5	北海道	赤井川村
01423-1	北海道	南幌町
01424-9	北海道	奈井江町
01425-7	北海道	上砂川町
01427-3	北海道	由仁町
01428-1	北海道	長沼町
01429-0	北海道	栗山町
01430-3	北海道	月形町
01431-1	北海道	浦臼町
01432-0	北海道	新十津川町
01433-8	北海道	妹背牛町
01434-6	北海道	秩父別町
01436-2	北海道	雨竜町
01437-1	北海道	北竜町
01438-9	北海道	沼田町
01452-4	北海道	鷹栖町
01453-2	北海道	東神楽町
01454-1	北海道	当麻町
01455-9	北海道	比布町
01456-7	北海道	愛別町
01457-5	北海道	上川町
01458-3	北海道	東川町
01459-1	北海道	美瑛町
01460-5	北海道	上富良野町
01461-3	北海道	中富良野町
01462-1	北海道	南富良野町
01463-0	北海道	占冠村
01464-8	北海道	和寒町
01465-6	北海道	剣淵町
01468-1	北海道	下川町
01469-9	北海道	美深町
01470-2	北海道	音威子府村
01471-1	北海道	中川町
01472-9	北海道	幌加内町
01481-8	北海道	増毛町
01482-6	北海道	小平町
01483-4	北海道	苫前町
01484-2	北海道	羽幌町
01485-1	北海道	初山別村
01486-9	北海道	遠別町
01487-7	北海道	天塩町
01511-3	北海道	猿払村
01512-1	北海道	浜頓別町
01513-0	北海道	中頓別町
01514-8	北海道	枝幸町
01516-4	北海道	豊富町
01517-2	北海道	礼文町
01518-1	北海道	利尻町
01519-9	北海道	利尻富士町
01520-2	北海道	幌延町
01543-1	北海道	美幌町
01544-0	北海道	津別町
01545-8	北海道	斜里町
01546-6	北海道	清里町
01547-4	北海道	小清水町
01549-1	北海道	訓子府町
01550-4	北海道	置戸町
01552-1	北海道	佐呂間町
01555-5	北海道	遠軽町
01559-8	北海道	湧別町
01560-1	北海道	滝上町
01561-0	北海道	興部町
01562-8	北海道	西興部村
01563-6	北海道	雄武町
01564-4	北海道	大空町
01571-7	北海道	豊浦町
01575-0	北海道	壮瞥町
01578-4	北海道	白老町
01581-4	北海道	厚真町
01584-9	北海道	洞爺湖町
01585-7	北海道	安平町
01586-5	北海道	むかわ町
01601-2	北海道	日高町
01602-1	北海道	平取町
01604-7	北海道	新冠町
01607-1	北海道	浦河町
01608-0	北海道	様似町
01609-8	北海道	えりも町
01610-1	北海道	新ひだか町
01631-4	北海道	音更町
01632-2	北海道	士幌町
01633-1	北海道	上士幌町
01634-9	北海道	鹿追町
01635-7	北海道	新得町
01636-5	北海道	清水町
01637-3	北海道	芽室町
01638-1	北海道	中札内村
01639-0	北海道	更別村
01641-1	北海道	大樹町
01642-0	北海道	広尾町
01643-8	北海道	幕別町
01644-6	北海道	池田町
01645-4	北海道	豊頃町
01646-2	北海道	本別町
01647-1	北海道	足寄町
01648-9	北海道	陸別町
01649-7	北海道	浦幌町
01661-6	北海道	釧路町
01662-4	北海道	厚岸町
01663-2	北海道	浜中町
01664-1	北海道	標茶町
01665-9	北海道	弟子屈町
01667-5	北海道	鶴居村
01668-3	北海道	白糠町
01691-8	北海道	別海町
01692-6	北海道	中標津町
01693-4	北海道	標津町
01694-2	北海道	羅臼町
02201-2	青森県	青森市
02202-1	青森県	弘前市
02203-9	青森県	八戸市
02204-7	青森県	黒石市
02205-5	青森県	五所川原市
02206-3	青森県	十和田市
02207-1	青森県	三沢市
02208-0	青森県	むつ市
02209-8	青森県	つがる市
02210-1	青森県	平川市
02301-9	青森県	平内町
02303-5	青森県	今別町
02304-3	青森県	蓬田村
02307-8	青森県	外ヶ浜町
02321-3	青森県	鯵ヶ沢町
02323-0	青森県	深浦町
02343-4	青森県	西目屋村
02361-2	青森県	藤崎町
02362-1	青森県	大鰐町
02367-1	青森県	田舎館村
02381-7	青森県	板柳町
02384-1	青森県	鶴田町
02387-6	青森県	中泊町
02401-5	青森県	野辺地町
02402-3	青森県	七戸町
02405-8	青森県	六戸町
02406-6	青森県	横浜町
02408-2	青森県	東北町
02411-2	青森県	六ヶ所村
02412-1	青森県	おいらせ町
02423-6	青森県	大間町
02424-4	青森県	東通村
02425-2	青森県	風間浦村
02426-1	青森県	佐井村
02441-4	青森県	三戸町
02442-2	青森県	五戸町
02443-1	青森県	田子町
02445-7	青森県	南部町
02446-5	青森県	階上町
02450-3	青森県	新郷村
03201-8	岩手県	盛岡市
03202-6	岩手県	宮古市
03203-4	岩手県	大船渡市
03205-1	岩手県	花巻市
03206-9	岩手県	北上市
03207-7	岩手県	久慈市
03208-5	岩手県	遠野市
03209-3	岩手県	一関市
03210-7	岩手県	陸前高田市
03211-5	岩手県	釜石市
03213-1	岩手県	二戸市
03214-0	岩手県	八幡平市
03215-8	岩手県	奥州市
03301-4	岩手県	雫石町
03302-2	岩手県	葛巻町
03303-1	岩手県	岩手町
03216-6	岩手県	滝沢市
03321-9	岩手県	紫波町
03322-7	岩手県	矢巾町
03366-9	岩手県	西和賀町
03381-2	岩手県	金ケ崎町
03402-9	岩手県	平泉町
03422-3	岩手県	藤沢町
03441-0	岩手県	住田町
03461-4	岩手県	大槌町
03482-7	岩手県	山田町
03483-5	岩手県	岩泉町
03484-3	岩手県	田野畑村
03485-1	岩手県	普代村
03501-7	岩手県	軽米町
03503-3	岩手県	野田村
